GEO,1/1/2007,7/1/2007,1/1/2008,7/1/2008,1/1/2009,7/1/2009,1/1/2010,7/1/2010,1/1/2011,7/1/2011,1/1/2012,7/1/2012,1/1/2013,7/1/2013,1/1/2014,7/1/2014,1/1/2015,7/1/2015,1/1/2016,7/1/2016,1/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU28,64.8,65.65,65.55,65.9,64.5,64.4,63.85,64.4,64,64.3,63.85,64.3,63.7,64.4,64.3,65.2,65.1,66.05,66.15,67,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU27,64.9,65.75,65.6,65.9,64.55,64.45,63.95,64.4,64.1,64.4,63.95,64.4,63.8,64.5,64.4,65.3,65.2,66.15,66.2,67.05,67.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU15,66.45,67.2,67.05,67.15,65.8,65.65,65.15,65.55,65.3,65.55,64.95,65.25,64.7,65.25,65.05,65.85,65.7,66.5,66.65,67.4,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA19,65.1,65.9,65.75,65.9,64.5,64.35,63.85,64.25,64.05,64.25,63.65,63.8,63.2,63.7,63.45,64.15,64.05,64.85,65,65.8,65.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA18,65.1,65.9,65.75,65.95,64.6,64.4,63.95,64.3,64.05,64.25,63.65,63.8,63.2,63.7,63.45,64.15,64.05,64.85,64.95,65.8,65.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA17,65.1,65.85,65.75,65.95,64.6,64.45,63.95,64.3,64.1,64.25,63.65,63.8,63.2,63.7,63.4,64.15,64.05,64.85,64.9,65.75,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE,61.65,62.4,62.3,62.5,61.6,61.6,61.7,62.35,61.9,61.95,61.65,62,61.65,61.95,61.7,62.1,61.65,61.95,61.8,62.8,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,60.65,62.8,63.25,64.65,62.95,62.15,59.6,60,57.65,59.2,57.6,60,58.6,60.35,60,62.1,61.7,64.1,63,63.8,65.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ,65.75,66.4,66.35,66.75,65.5,65.25,64.5,65.45,65.35,66.1,66.05,67.05,67.3,68.15,68.4,69.55,69.8,70.65,71.35,72.55,73.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK,77.05,76.95,77.4,78.3,75.9,74.85,73.3,73.4,72.95,73.35,72.55,72.6,72.5,72.6,72,73.6,73.25,73.75,74.85,74.85,73.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,68.4,69.55,69.55,70.65,69.95,70.7,70.75,71.75,72.15,73.25,72.6,73.4,73.15,73.85,73.4,74.15,73.65,74.3,74.1,75.2,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE,69.45,70,69.9,70.25,64.8,62.75,59.45,63.05,63.9,66.7,66.55,67.75,68.4,68.55,68.8,70.35,70.8,72.95,71.8,72.4,73.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE,69,69.3,68.05,66.65,62.6,61.25,59.9,59.4,58.85,58.9,58.55,59.15,59.75,61.25,61.05,62.4,62.65,63.85,64.15,65.5,65.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL,60.6,61.15,61.3,61.55,60.9,60.8,59.65,58.55,56.2,54,51.5,50.1,48.85,48.75,48.95,49.9,50.1,51.5,51.65,52.4,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
